id,borough,neighborhood,block,lot,easement,units,land_sqft,gross_sqft,year_built,sale_price
66,1,ALPHABET CITY,404,27, ,0, -  , -  ,1900,780000
67,1,ALPHABET CITY,404,57, ,0, -  , -  ,1925,2400000
68,1,ALPHABET CITY,405,51, ,0, -  , -  ,1910,380000
69,1,ALPHABET CITY,406,50, ,0, -  , -  ,1901,430000
70,1,ALPHABET CITY,379,45, ,0, -  , -  ,1920,499900
71,1,ALPHABET CITY,386,36, ,0, -  , -  ,1940,1400000
72,1,ALPHABET CITY,386,58, ,0, -  , -  ,1900,694000
73,1,ALPHABET CITY,385,1102, ,47, -  ,36472,2005,28000000
74,1,ALPHABET CITY,394,1602, ,0, -  , -  ,0,8058923
75,1,ALPHABET CITY,397,1301, ,132,33650, -  ,1989,52625000
76,1,ALPHABET CITY,386,1002, ,1, -  , -  ,0,620000
77,1,ALPHABET CITY,398,1039, ,1, -  , -  ,0, -  
78,1,ALPHABET CITY,405,1211, ,1, -  , -  ,0, -  
79,1,ALPHABET CITY,373,1003, ,1, -  , -  ,1920,762669
81,1,ALPHABET CITY,373,1005, ,1, -  , -  ,1920,1034880
82,1,ALPHABET CITY,373,1006, ,1, -  , -  ,1920, -  
83,1,ALPHABET CITY,373,1007, ,1, -  , -  ,1920, -  
84,1,ALPHABET CITY,373,1008, ,1, -  , -  ,1920, -  
85,1,ALPHABET CITY,373,1009, ,1, -  , -  ,1920,800000
86,1,ALPHABET CITY,373,1011, ,1, -  , -  ,1920,2295759
87,1,ALPHABET CITY,375,1004, ,1, -  , -  ,0,875000
88,1,ALPHABET CITY,378,1001, ,1, -  , -  ,2014, -  
89,1,ALPHABET CITY,378,1002, ,1, -  , -  ,2014, -  
90,1,ALPHABET CITY,378,1003, ,1, -  , -  ,2014, -  
91,1,ALPHABET CITY,378,1004, ,1, -  , -  ,2014, -  
92,1,ALPHABET CITY,378,1005, ,1, -  , -  ,2014, -  
93,1,ALPHABET CITY,378,1006, ,1, -  , -  ,2014, -  
94,1,ALPHABET CITY,378,1007, ,1, -  , -  ,2014, -  
95,1,ALPHABET CITY,378,1008, ,1, -  , -  ,2014,701341
97,1,ALPHABET CITY,378,1010, ,1, -  , -  ,2014, -  
98,1,ALPHABET CITY,378,1011, ,1, -  , -  ,2014, -  
99,1,ALPHABET CITY,378,1012, ,1, -  , -  ,2014, -  
100,1,ALPHABET CITY,378,1013, ,1, -  , -  ,2014,753421
101,1,ALPHABET CITY,378,1014, ,1, -  , -  ,2014, -  
102,1,ALPHABET CITY,378,1015, ,1, -  , -  ,2014, -  
103,1,ALPHABET CITY,378,1016, ,1, -  , -  ,2014, -  
104,1,ALPHABET CITY,378,1017, ,1, -  , -  ,2014,771980
106,1,ALPHABET CITY,378,1020, ,1, -  , -  ,2014, -  
107,1,ALPHABET CITY,378,1021, ,1, -  , -  ,2014, -  
108,1,ALPHABET CITY,378,1022, ,1, -  , -  ,2014, -  
111,1,ALPHABET CITY,378,1025, ,1, -  , -  ,2014, -  
112,1,ALPHABET CITY,378,1026, ,1, -  , -  ,2014,1247356
113,1,ALPHABET CITY,378,1027, ,1, -  , -  ,2014, -  
114,1,ALPHABET CITY,378,1028, ,1, -  , -  ,2014, -  
115,1,ALPHABET CITY,378,1029, ,1, -  , -  ,2014, -  
116,1,ALPHABET CITY,384,1222, ,1, -  , -  ,2005,2150000
117,1,ALPHABET CITY,390,1009, ,1, -  , -  ,0,550000
118,1,ALPHABET CITY,390,1014, ,1, -  , -  ,0,1085000
119,1,ALPHABET CITY,392,1046, ,1, -  , -  ,1928, -  
120,1,ALPHABET CITY,392,1051, ,1, -  , -  ,1928, -  
122,1,ALPHABET CITY,392,1113, ,1, -  , -  ,2005,910000
123,1,ALPHABET CITY,394,1507, ,1, -  , -  ,1910,910000
124,1,ALPHABET CITY,394,1510, ,1, -  , -  ,1910,730000
126,1,ALPHABET CITY,394,1523, ,1, -  , -  ,1910, -  
127,1,ALPHABET CITY,394,1531, ,1, -  , -  ,1910,1300000
129,1,ALPHABET CITY,396,1012, ,1, -  , -  ,2008,1750000
130,1,ALPHABET CITY,397,1018, ,1, -  , -  ,0,1150000
131,1,ALPHABET CITY,397,1104, ,1, -  , -  ,0,2085000
132,1,ALPHABET CITY,397,1117, ,1, -  , -  ,0, -  
133,1,ALPHABET CITY,402,1302, ,1, -  , -  ,2014,1680112
135,1,ALPHABET CITY,402,1304, ,1, -  , -  ,2014,1308451
136,1,ALPHABET CITY,402,1305, ,1, -  , -  ,2014,1863397
137,1,ALPHABET CITY,402,1306, ,1, -  , -  ,2014,1603743
138,1,ALPHABET CITY,402,1307, ,1, -  , -  ,2014,1781937
140,1,ALPHABET CITY,402,1309, ,1, -  , -  ,2014,1200000
141,1,ALPHABET CITY,402,1310, ,1, -  , -  ,2014,1900000
142,1,ALPHABET CITY,402,1311, ,1, -  , -  ,2014,1150000
143,1,ALPHABET CITY,402,1312, ,1, -  , -  ,2014,1800000
144,1,ALPHABET CITY,402,1313, ,1, -  , -  ,2014,1318633
145,1,ALPHABET CITY,402,1314, ,1, -  , -  ,2014,1385000
146,1,ALPHABET CITY,402,1315, ,1, -  , -  ,2014, -  
147,1,ALPHABET CITY,402,1315, ,1, -  , -  ,2014,2150000
148,1,ALPHABET CITY,402,1316, ,1, -  , -  ,2014,1236300
149,1,ALPHABET CITY,402,1317, ,1, -  , -  ,2014,1934675
150,1,ALPHABET CITY,402,1318, ,1, -  , -  ,2014,1237000
153,1,ALPHABET CITY,402,1321, ,1, -  , -  ,2014,1221900
154,1,ALPHABET CITY,402,1322, ,1, -  , -  ,2014,2250000
157,1,ALPHABET CITY,402,1325, ,1, -  , -  ,2014,1934675
158,1,ALPHABET CITY,402,1326, ,1, -  , -  ,2014,1250000
159,1,ALPHABET CITY,402,1327, ,1, -  , -  ,2014,2611811
160,1,ALPHABET CITY,402,1328, ,1, -  , -  ,2014,4159551
161,1,ALPHABET CITY,402,1329, ,1, -  , -  ,2014,1303360
162,1,ALPHABET CITY,402,1330, ,1, -  , -  ,2014,2250000
163,1,ALPHABET CITY,402,1331, ,1, -  , -  ,2014,2392887
164,1,ALPHABET CITY,402,1332, ,1, -  , -  ,2014,1578287
165,1,ALPHABET CITY,402,1333, ,1, -  , -  ,2014,1400093
168,1,ALPHABET CITY,405,1315, ,1, -  , -  ,1965,750000
169,1,ALPHABET CITY,405,1322, ,1, -  , -  ,1965,2385000
170,1,ALPHABET CITY,406,1203, ,1, -  , -  ,2013,1400093
171,1,ALPHABET CITY,406,1207, ,1, -  , -  ,2013,1478499
172,1,ALPHABET CITY,391,19, ,4,1520,3360,1910,3300000
173,1,ALPHABET CITY,393,4, ,5,2201,5608,1900,7215000
174,1,ALPHABET CITY,394,5, ,6,1779,3713,1910,4750000
175,1,ALPHABET CITY,394,5, ,6,1779,3713,1910, -  
176,1,ALPHABET CITY,372,1003, ,1, -  , -  ,2003,805000
177,1,ALPHABET CITY,372,1004, ,1, -  , -  ,2003,735000
178,1,ALPHABET CITY,375,1105, ,1, -  , -  ,2003,810000
179,1,ALPHABET CITY,375,1110, ,1, -  , -  ,2003, -  
180,1,ALPHABET CITY,384,1007, ,1, -  , -  ,2005,3035000
182,1,ALPHABET CITY,394,1306, ,1, -  , -  ,0,680000
183,1,ALPHABET CITY,394,1401, ,1, -  , -  ,2006, -  
185,1,ALPHABET CITY,405,1108, ,1, -  , -  ,0,494500
186,1,ALPHABET CITY,406,1104, ,1, -  , -  ,2007,1875000
188,1,ALPHABET CITY,387,1001, ,1, -  , -  ,1951,1500000
189,1,ALPHABET CITY,389,1003, ,0, -  , -  ,1900,635000
190,1,ALPHABET CITY,389,1003, ,0, -  , -  ,1900,700000
191,1,ALPHABET CITY,389,1003, ,0, -  , -  ,1900,1100000
192,1,ALPHABET CITY,389,1003, ,0, -  , -  ,1900,1900000
193,1,ALPHABET CITY,398,1102, ,0, -  , -  ,1920,485000
195,1,ALPHABET CITY,390,34, ,1,1218,3586,1899,3700000
196,1,ALPHABET CITY,399,11, ,1,32246,39246,1900, -  
197,1,ALPHABET CITY,399,51, ,1,3408,13632,1900, -  
198,1,ALPHABET CITY,394,1601, ,0, -  , -  ,0, -  
199,1,ALPHABET CITY,384,1201, ,1, -  , -  ,2005,10800000
201,1,ALPHABET CITY,397,1303, ,1, -  , -  ,1989, -  
202,1,ALPHABET CITY,378,1031, ,1, -  , -  ,2014, -  
203,1,ALPHABET CITY,378,1033, ,1, -  , -  ,2014, -  
205,1,CHELSEA,766,13, ,1,1360,2736,1910, -  
206,1,CHELSEA,771,52, ,1,1975,3855,1901,7425000
209,1,CHELSEA,772,29, ,1,1588,5653,1900,10
210,1,CHELSEA,743,61, ,2,1526,3168,1910, -  
211,1,CHELSEA,766,18, ,2,2000,2520,1901, -  
212,1,CHELSEA,769,49, ,3,2150,4978,1920,7750000
215,1,CHELSEA,791,1002, ,1, -  , -  ,1920,2850000
218,1,CHELSEA,722,6, ,4,2057,2890,1910,5950000
219,1,CHELSEA,743,56, ,24,2307,4500,1900,7375000
221,1,CHELSEA,764,68, ,24,2581,13056,1901,14100000
222,1,CHELSEA,765,25, ,9,1566,6330,1901,1583840
223,1,CHELSEA,765,25, ,9,1566,6330,1901,416790
224,1,CHELSEA,765,25, ,9,1566,6330,1901,630370
225,1,CHELSEA,765,26, ,4,2065,4500,1901, -  
226,1,CHELSEA,770,3, ,9,1500,6200,1901, -  
227,1,CHELSEA,770,53, ,9,2029,8540,1920,29400000
228,1,CHELSEA,770,54, ,16,2927,11580,1920, -  
229,1,CHELSEA,772,30, ,8,1588,3600,1910, -  
230,1,CHELSEA,790,8, ,9,2581,7650,1920,6450000
231,1,CHELSEA,790,9, ,16,2077,6335,1901,5500000
232,1,CHELSEA,790,10, ,9,1952,5955,1920,5750000
233,1,CHELSEA,790,63, ,8,2000,4100,1910,3485000
234,1,CHELSEA,695,6, ,7,2469,19892,2014,4600000
235,1,CHELSEA,700,27, ,211,12344,269584,2014, -  
236,1,CHELSEA,700,42, ,211,4937,269584,2014, -  
237,1,CHELSEA,700,44, ,211,2468,269584,2014, -  
238,1,CHELSEA,700,45, ,211,4937,269584,2014, -  
239,1,CHELSEA,794,11, ,32,10053,78882,2014,2341975
242,1,CHELSEA,719,34, ,0, -  , -  ,1900,1587500
243,1,CHELSEA,719,36, ,0, -  , -  ,1900,310000
244,1,CHELSEA,719,36, ,0, -  , -  ,1900,550000
245,1,CHELSEA,720,21, ,0, -  , -  ,1900,354500
246,1,CHELSEA,720,34, ,0, -  , -  ,1850,1750000
247,1,CHELSEA,720,42, ,0, -  , -  ,1900,485000
249,1,CHELSEA,720,65, ,0, -  , -  ,1900,705000
250,1,CHELSEA,720,66, ,0, -  , -  ,1900,2575000
253,1,CHELSEA,722,13, ,0, -  , -  ,1900, -  
254,1,CHELSEA,722,13, ,0, -  , -  ,1900,1750000
255,1,CHELSEA,722,46, ,0, -  , -  ,1910,289000
256,1,CHELSEA,722,47, ,0, -  , -  ,1910,670000
257,1,CHELSEA,722,47, ,0, -  , -  ,1910,699000
259,1,CHELSEA,740,46, ,0, -  , -  ,1910,180000
260,1,CHELSEA,740,46, ,0, -  , -  ,1910, -  
261,1,CHELSEA,740,47, ,0, -  , -  ,1900,1237500
262,1,CHELSEA,740,48, ,0, -  , -  ,1900,1300000
263,1,CHELSEA,740,50, ,0, -  , -  ,1900,592500
264,1,CHELSEA,741,41, ,0, -  , -  ,1900,311000
265,1,CHELSEA,741,41, ,0, -  , -  ,1900,770000
266,1,CHELSEA,741,41, ,0, -  , -  ,1900,560000
267,1,CHELSEA,742,57, ,0, -  , -  ,1910,2000000
268,1,CHELSEA,742,59, ,0, -  , -  ,1920,610000
269,1,CHELSEA,743,6, ,0, -  , -  ,1910,590000
270,1,CHELSEA,743,6, ,0, -  , -  ,1910,1700000
273,1,CHELSEA,744,3, ,0, -  , -  ,1940,617777
276,1,CHELSEA,744,19, ,0, -  , -  ,1900,367500
277,1,CHELSEA,744,32, ,24,4600,12200,1850,282000
279,1,CHELSEA,744,32, ,0, -  , -  ,1850,282000
280,1,CHELSEA,745,16, ,0, -  , -  ,1920,1280000
283,1,CHELSEA,745,17, ,0, -  , -  ,1900,455000
287,1,CHELSEA,745,21, ,0, -  , -  ,1864,1350000
288,1,CHELSEA,745,50, ,0, -  , -  ,1900,999000
289,1,CHELSEA,745,56, ,0, -  , -  ,1925,490000
290,1,CHELSEA,745,56, ,0, -  , -  ,1925,690000
291,1,CHELSEA,745,56, ,0, -  , -  ,1925,999000
293,1,CHELSEA,745,56, ,0, -  , -  ,1925,434000
294,1,CHELSEA,746,6, ,0, -  , -  ,1910,1085000
295,1,CHELSEA,746,71, ,0, -  , -  ,1900,640000
296,1,CHELSEA,746,72, ,0, -  , -  ,1910,440000
297,1,CHELSEA,765,62, ,0, -  , -  ,1915,620000
298,1,CHELSEA,765,62, ,0, -  , -  ,1915,640000
299,1,CHELSEA,765,62, ,0, -  , -  ,1915, -  
300,1,CHELSEA,765,62, ,0, -  , -  ,1915,625000
303,1,CHELSEA,766,23, ,0, -  , -  ,1910,500000
304,1,CHELSEA,766,23, ,0, -  , -  ,1910,460000
306,1,CHELSEA,770,56, ,0, -  , -  ,1910,2495000
307,1,CHELSEA,770,56, ,0, -  , -  ,1910,1625000
308,1,CHELSEA,770,68, ,0, -  , -  ,1910,765000
309,1,CHELSEA,771,35, ,0, -  , -  ,1905,1775000
310,1,CHELSEA,771,71, ,0, -  , -  ,1905,730000
311,1,CHELSEA,771,71, ,0, -  , -  ,1905,2660000
312,1,CHELSEA,771,73, ,0, -  , -  ,1920,500000
313,1,CHELSEA,771,73, ,0, -  , -  ,1920,540000
314,1,CHELSEA,772,12, ,0, -  , -  ,1917,1375000
315,1,CHELSEA,772,12, ,0, -  , -  ,1917,827500
316,1,CHELSEA,772,12, ,0, -  , -  ,1917,582500
317,1,CHELSEA,772,12, ,0, -  , -  ,1917,950000
318,1,CHELSEA,791,25, ,0, -  , -  ,1911,750000
319,1,CHELSEA,791,25, ,0, -  , -  ,1911,583000
320,1,CHELSEA,791,25, ,0, -  , -  ,1911,735000
322,1,CHELSEA,791,71, ,0, -  , -  ,1920,880000
323,1,CHELSEA,800,21, ,0, -  , -  ,1910,2450000
324,1,CHELSEA,694,42, ,0, -  , -  ,2003,732500
325,1,CHELSEA,694,42, ,0, -  , -  ,2003,518000
326,1,CHELSEA,694,42, ,0, -  , -  ,2003,1215000
327,1,CHELSEA,694,42, ,0, -  , -  ,2003,775000
329,1,CHELSEA,694,42, ,0, -  , -  ,2003,900000
330,1,CHELSEA,694,42, ,0, -  , -  ,2003,850000
332,1,CHELSEA,694,42, ,0, -  , -  ,2003,655000
333,1,CHELSEA,694,42, ,0, -  , -  ,2003,1080000
334,1,CHELSEA,717,9, ,0, -  , -  ,1983,790000
336,1,CHELSEA,720,47, ,0, -  , -  ,1920,875000
337,1,CHELSEA,720,49, ,0, -  , -  ,1920,452000
340,1,CHELSEA,722,18, ,0, -  , -  ,1920,701574
341,1,CHELSEA,722,18, ,0, -  , -  ,1920,1200000
342,1,CHELSEA,738,18, ,0, -  , -  ,1900,875000
343,1,CHELSEA,738,18, ,0, -  , -  ,1900,979000
344,1,CHELSEA,740,19, ,0, -  , -  ,1902,1350000
346,1,CHELSEA,742,49, ,0, -  , -  ,1900,750000
347,1,CHELSEA,744,1, ,0, -  , -  ,1928,995000
348,1,CHELSEA,744,1, ,0, -  , -  ,1928,661862
349,1,CHELSEA,744,1, ,0, -  , -  ,1928,835000
350,1,CHELSEA,744,1, ,0, -  , -  ,1928,1017000
351,1,CHELSEA,747,28, ,0, -  , -  ,1926, -  
352,1,CHELSEA,747,28, ,0, -  , -  ,1926,1495000
353,1,CHELSEA,748,1, ,0, -  , -  ,1963,113692
355,1,CHELSEA,748,1, ,0, -  , -  ,1963,86231
356,1,CHELSEA,748,1, ,0, -  , -  ,1963,72260
357,1,CHELSEA,748,1, ,0, -  , -  ,1963,103640
358,1,CHELSEA,748,1, ,0, -  , -  ,1963,88332
359,1,CHELSEA,748,1, ,0, -  , -  ,1963,101726
360,1,CHELSEA,748,1, ,0, -  , -  ,1963,116447
361,1,CHELSEA,748,1, ,0, -  , -  ,1963,87346
362,1,CHELSEA,749,1, ,0, -  , -  ,1963,86712
364,1,CHELSEA,749,24, ,0, -  , -  ,1963,144521
365,1,CHELSEA,749,24, ,0, -  , -  ,1963,137150
367,1,CHELSEA,751,1, ,0, -  , -  ,1960,86712
370,1,CHELSEA,751,1, ,0, -  , -  ,1960,100603
373,1,CHELSEA,751,1, ,0, -  , -  ,1960,87346
374,1,CHELSEA,752,1, ,0, -  , -  ,1963,86231
375,1,CHELSEA,764,62, ,0, -  , -  ,1930,655000
376,1,CHELSEA,764,62, ,0, -  , -  ,1930,785000
377,1,CHELSEA,765,70, ,0, -  , -  ,1930,915000
378,1,CHELSEA,765,70, ,0, -  , -  ,1930,849000
379,1,CHELSEA,765,70, ,0, -  , -  ,1930,300000
381,1,CHELSEA,766,39, ,0, -  , -  ,1930, -  
383,1,CHELSEA,766,39, ,0, -  , -  ,1930, -  
384,1,CHELSEA,770,48, ,0, -  , -  ,1902,1115000
386,1,CHELSEA,770,48, ,0, -  , -  ,1902,1195000
387,1,CHELSEA,770,48, ,0, -  , -  ,1902,1075000
388,1,CHELSEA,770,59, ,0, -  , -  ,1913,267701
389,1,CHELSEA,770,59, ,0, -  , -  ,1913,284101
390,1,CHELSEA,770,59, ,0, -  , -  ,1913,207564
391,1,CHELSEA,770,59, ,0, -  , -  ,1913,289568
393,1,CHELSEA,770,59, ,0, -  , -  ,1913,207564
394,1,CHELSEA,771,23, ,0, -  , -  ,1889,500000
395,1,CHELSEA,771,28, ,0, -  , -  ,1920,670000
396,1,CHELSEA,771,38, ,0, -  , -  ,1963,530000
397,1,CHELSEA,771,38, ,0, -  , -  ,1963,460000
398,1,CHELSEA,771,38, ,0, -  , -  ,1963,605000
399,1,CHELSEA,771,38, ,0, -  , -  ,1963,677500
400,1,CHELSEA,771,38, ,0, -  , -  ,1963,425000
402,1,CHELSEA,771,38, ,0, -  , -  ,1963,475000
403,1,CHELSEA,771,38, ,0, -  , -  ,1963,469000
404,1,CHELSEA,771,65, ,0, -  , -  ,1920,880000
405,1,CHELSEA,771,65, ,0, -  , -  ,1920, -  
406,1,CHELSEA,772,69, ,0, -  , -  ,1900,2000000
407,1,CHELSEA,773,12, ,0, -  , -  ,1940,1090000
408,1,CHELSEA,773,12, ,0, -  , -  ,1940,945000
409,1,CHELSEA,773,12, ,0, -  , -  ,1940,592500
410,1,CHELSEA,773,12, ,0, -  , -  ,1940,653000
412,1,CHELSEA,773,12, ,0, -  , -  ,1940,1075000
414,1,CHELSEA,773,12, ,0, -  , -  ,1940,1535000
416,1,CHELSEA,773,12, ,0, -  , -  ,1940, -  
417,1,CHELSEA,773,22, ,0, -  , -  ,1898,1950000
418,1,CHELSEA,773,22, ,0, -  , -  ,1898,3850000
419,1,CHELSEA,775,22, ,0, -  , -  ,1939,905000
420,1,CHELSEA,775,22, ,0, -  , -  ,1939,900000
421,1,CHELSEA,775,22, ,0, -  , -  ,1939,890000
422,1,CHELSEA,775,22, ,0, -  , -  ,1939,520000
423,1,CHELSEA,775,22, ,0, -  , -  ,1939,810000
425,1,CHELSEA,776,17, ,0, -  , -  ,1926,2495000
427,1,CHELSEA,790,1, ,0, -  , -  ,1963,1700000
428,1,CHELSEA,790,1, ,0, -  , -  ,1963,1650000
429,1,CHELSEA,790,1, ,0, -  , -  ,1963,867500
430,1,CHELSEA,790,1, ,0, -  , -  ,1963,737500
432,1,CHELSEA,790,1, ,0, -  , -  ,1963,1111000
433,1,CHELSEA,790,1, ,0, -  , -  ,1963,981000
435,1,CHELSEA,790,1, ,0, -  , -  ,1963,1950000
436,1,CHELSEA,790,1, ,0, -  , -  ,1963, -  
437,1,CHELSEA,790,1, ,0, -  , -  ,1963,1390000
438,1,CHELSEA,790,1, ,0, -  , -  ,1963,630000
440,1,CHELSEA,790,1, ,0, -  , -  ,1963, -  
442,1,CHELSEA,790,1, ,0, -  , -  ,1963,708000
443,1,CHELSEA,790,1, ,0, -  , -  ,1963,865000
444,1,CHELSEA,790,1, ,0, -  , -  ,1963, -  
448,1,CHELSEA,790,40, ,0, -  , -  ,1920,545000
449,1,CHELSEA,790,40, ,0, -  , -  ,1920,560000
451,1,CHELSEA,790,66, ,0, -  , -  ,1910, -  
453,1,CHELSEA,791,1, ,0, -  , -  ,1938,1450000
454,1,CHELSEA,791,1, ,0, -  , -  ,1938,1850000
455,1,CHELSEA,791,1, ,0, -  , -  ,1938, -  
456,1,CHELSEA,791,9, ,0, -  , -  ,1940,5000000
457,1,CHELSEA,791,9, ,0, -  , -  ,1940,1753000
458,1,CHELSEA,791,62, ,0, -  , -  ,1927,949000
459,1,CHELSEA,792,33, ,0, -  , -  ,1900,2075000
460,1,CHELSEA,792,33, ,0, -  , -  ,1900,6000000
461,1,CHELSEA,796,1, ,0, -  , -  ,1938,615000
462,1,CHELSEA,796,1, ,0, -  , -  ,1938,675000
465,1,CHELSEA,796,7, ,0, -  , -  ,1938,445000
466,1,CHELSEA,796,7, ,0, -  , -  ,1938,550000
467,1,CHELSEA,796,7, ,0, -  , -  ,1938,950000
469,1,CHELSEA,797,76, ,0, -  , -  ,1950,900000
471,1,CHELSEA,797,76, ,0, -  , -  ,1950,839000
472,1,CHELSEA,798,17, ,0, -  , -  ,1909,1810000
473,1,CHELSEA,798,26, ,0, -  , -  ,1909,4815000
474,1,CHELSEA,799,35, ,0, -  , -  ,1958,433000
475,1,CHELSEA,801,30, ,0, -  , -  ,1905,1770000
476,1,CHELSEA,801,30, ,0, -  , -  ,1905,1645000
477,1,CHELSEA,801,30, ,0, -  , -  ,1905,1700000
478,1,CHELSEA,802,31, ,0, -  , -  ,1910,2000000
479,1,CHELSEA,802,35, ,0, -  , -  ,1904,997500
480,1,CHELSEA,802,35, ,0, -  , -  ,1904,210000
481,1,CHELSEA,802,52, ,0, -  , -  ,1907,2560000
482,1,CHELSEA,802,52, ,0, -  , -  ,1907,2650000
483,1,CHELSEA,764,1006, ,1, -  , -  ,1930, -  
485,1,CHELSEA,764,1008, ,1, -  , -  ,1930,1150000
486,1,CHELSEA,764,1104, ,1, -  , -  ,1930, -  
487,1,CHELSEA,764,1105, ,1, -  , -  ,1930,826000
488,1,CHELSEA,690,1002, ,1, -  , -  ,2007,2560000
489,1,CHELSEA,690,1008, ,1, -  , -  ,2007,2815000
490,1,CHELSEA,690,1012, ,1, -  , -  ,2007,3699000
491,1,CHELSEA,690,1014, ,1, -  , -  ,2007,3020000
492,1,CHELSEA,691,1027, ,1, -  , -  ,2007, -  
493,1,CHELSEA,691,1028, ,1, -  , -  ,2007,2600000
494,1,CHELSEA,691,1050, ,1, -  , -  ,2007,7950000
495,1,CHELSEA,691,1108, ,1, -  , -  ,2013,3210237
496,1,CHELSEA,691,1112, ,1, -  , -  ,2013,5875000
497,1,CHELSEA,691,1112, ,1, -  , -  ,2013,44105000
498,1,CHELSEA,691,1113, ,1, -  , -  ,2013,4650000
499,1,CHELSEA,691,1113, ,1, -  , -  ,2013, -  
500,1,CHELSEA,691,1135, ,1, -  , -  ,2013,2685000
501,1,CHELSEA,691,1139, ,1, -  , -  ,2013,15350000
502,1,CHELSEA,691,1139, ,1, -  , -  ,2013, -  
504,1,CHELSEA,691,1140, ,1, -  , -  ,2013, -  
505,1,CHELSEA,693,1012, ,1, -  , -  ,0, -  
507,1,CHELSEA,693,1105, ,1, -  , -  ,2013,2853850
508,1,CHELSEA,693,1107, ,1, -  , -  ,2013,2599287
509,1,CHELSEA,693,1109, ,1, -  , -  ,2013,2760000
510,1,CHELSEA,693,1114, ,1, -  , -  ,2013,6315900
511,1,CHELSEA,693,1115, ,1, -  , -  ,2013,6875937
512,1,CHELSEA,693,1116, ,1, -  , -  ,2013,7950000
513,1,CHELSEA,693,1123, ,1, -  , -  ,2013,5959512
514,1,CHELSEA,693,1127, ,1, -  , -  ,2013,10490725
515,1,CHELSEA,693,1128, ,1, -  , -  ,2013,13435504
516,1,CHELSEA,693,1129, ,1, -  , -  ,2013,10126700
517,1,CHELSEA,693,1130, ,1, -  , -  ,2013,14563725
518,1,CHELSEA,693,1131, ,1, -  , -  ,2013, -  
