,company,dropoff_census_tract,dropoff_centroid_latitude,dropoff_centroid_location,dropoff_centroid_longitude,dropoff_community_area,extras,fare,payment_type,pickup_census_tract,pickup_centroid_latitude,pickup_centroid_location,pickup_centroid_longitude,pickup_community_area,taxi_id,tips,tolls,trip_end_timestamp,trip_id,trip_miles,trip_seconds,trip_start_timestamp,trip_total,PickupHour,PickupMin,PickupTime
10,Taxi Affiliation Services,,41.98363631,"{'type': 'Point', 'coordinates': [-87.7235831853, 41.9836363072]}",-87.72358319,13,0,8.25,Cash,,42.00157103,"{'type': 'Point', 'coordinates': [-87.6950125892, 42.001571027]}",-87.69501259,2,89a40bbeb44e22e8169b4ba823c5eee94b324219fbe8c007ec52243acb7b0aed5ac28fc53132e13d6deb4fcd6eec8911cc70ac7233fe3bdd8f8a5ea6f23e5f71,0,0,2017-07-07T00:00:00.000,13ab6df74d5cd204bff72424f7686313b4a4fc47,1.9,480,2017-07-07T00:00:00.000,8.25,,,
11,Chicago Medallion Leasing INC,17031833000,41.88528132,"{'type': 'Point', 'coordinates': [-87.6572331997, 41.8852813201]}",-87.6572332,28,0,6.75,Credit Card,17031839100,41.88099447,"{'type': 'Point', 'coordinates': [-87.6327464887, 41.8809944707]}",-87.63274649,32,1d5c92da7f240e8a24b8ca4635a64a519961d69afafbf8d17116a133833b1ce464e7d68b137a9c4faf4cec8c3d1ca6bd4637610a5f51bd3cc2569336d6937a9b,2,0,2017-07-07T00:00:00.000,146858b05316f923f70ec5152220393f19d9ffc5,1.4,360,2017-07-07T00:00:00.000,8.75,,,
12,Choice Taxi Association,,41.92268628,"{'type': 'Point', 'coordinates': [-87.6494887289, 41.9226862843]}",-87.64948873,7,1,12,Cash,,41.89960211,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",-87.63330804,8,018e2fc4d3e35a1f76f3221f8ecf824591aea4e6e7e05fb330b4a5f29349c5ad53a1906a0ba96738df71c18d9ca8f54bd2aa49527b16644296b4c344d00aec47,0,0,2017-07-07T00:15:00.000,156f47a5719803c8c4b3055b408abee5ef12aa9a,3.6,600,2017-07-07T00:00:00.000,13,,,
13,,,41.9867118,"{'type': 'Point', 'coordinates': [-87.6634164054, 41.9867117999]}",-87.66341641,77,0,18.75,Cash,,41.89960211,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",-87.63330804,8,9b3d773239a63f5f3ae51a8479fcb0e231453a59be321e90025f3b56c9d8e860a6d55b6ba3ee418cbc455e423342d6d68d0bdd43952973b4258a8913ac43f85a,0,0,2017-07-07T00:15:00.000,1682481006422db103f852c0b8dde061afe5dc16,6.9,600,2017-07-07T00:00:00.000,18.75,,,
14,Taxi Affiliation Services,17031281900,41.87925508,"{'type': 'Point', 'coordinates': [-87.642648998, 41.8792550844]}",-87.642649,28,1,10.5,Credit Card,17031330100,41.85934972,"{'type': 'Point', 'coordinates': [-87.6173580061, 41.859349715]}",-87.61735801,33,dd38b7cebd5414ae2b17595c68048ff8745c5147487c6c21819daf489517055192acf8e79b37a52b929601021940f63b5fcae96aa07346acff8bc4298fdc9be6,2.3,0,2017-07-07T00:00:00.000,20cdf1b546d4fb97cac44bdc94cb3f7d6d53c24f,2.3,780,2017-07-07T00:00:00.000,13.8,,,
15,Taxi Affiliation Services,,41.9386662,"{'type': 'Point', 'coordinates': [-87.7112105933, 41.9386661962]}",-87.71121059,21,0,12,Credit Card,,41.9442266,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}",-87.65599818,6,0ed96f11414297581014df319b690503d335ba479b8d578fc4ce5ee12067eb1ed16d13487c2c56391bc82fd284934a528a98a92a8ba231607a38826a7c03c3e5,0,0,2017-07-07T00:15:00.000,21fd54b7454c834317f7cba6f1ffbfff95a89ed9,3.5,780,2017-07-07T00:00:00.000,12,,,
16,Chicago Medallion Management,,41.87400538,"{'type': 'Point', 'coordinates': [-87.6635175498, 41.874005383]}",-87.66351755,28,0,9.75,Cash,,41.90120699,"{'type': 'Point', 'coordinates': [-87.6763559892, 41.9012069941]}",-87.67635599,24,817bce4fc90caf0de5030c9cb2b9d59aff5afadce680a0ba4f9b94c346ae3844a0346417492742ac3ab898074e31929f1e7aa90e7c778c63202df146bbd5577d,0,0,2017-07-07T00:15:00.000,22847b92ea0954bac0b1f1d31dbc9ff5ea268219,2.5,600,2017-07-07T00:00:00.000,9.75,,,
17,,,41.87886558,"{'type': 'Point', 'coordinates': [-87.6251921424, 41.8788655841]}",-87.62519214,32,4,31.5,Cash,,41.79259236,"{'type': 'Point', 'coordinates': [-87.7696154528, 41.7925923603]}",-87.76961545,56,48d462bcf24c2aadcda3fcf689d3f63fc178f23dc73bba998ff54bbbaf6db66384ed867a254bb3d8fb8b45c5e9e5d4bb3a14cead1216e9c664ad8e36c6901e2d,0,0,2017-07-07T00:15:00.000,2924f9aca9a6942d25d2c25a266bc8618ce18949,12.5,1140,2017-07-07T00:00:00.000,35.5,,,
18,,,41.89960211,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",-87.63330804,8,0,5.75,Credit Card,,41.89960211,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",-87.63330804,8,5c03478db811db571ca5a182a9e5b3e7d1078a236ee886492e1eec0a111f1cc8b0b0a5db3ee85595db2ce965cde56efe29ebb9f32c19d8c8325a03121f1e4d58,2,0,2017-07-07T00:15:00.000,2999bee4083270c5251db7b638aeeb32038a0225,1.1,240,2017-07-07T00:00:00.000,8.25,,,
19,Taxi Affiliation Services,,41.92276062,"{'type': 'Point', 'coordinates': [-87.6991553432, 41.9227606205]}",-87.69915534,22,0,16.75,Credit Card,,41.87886558,"{'type': 'Point', 'coordinates': [-87.6251921424, 41.8788655841]}",-87.62519214,32,a2b3baddc42103d7918c99ef6d3c5d115d7418b34993b35794880fcd71f7c43740d865e529dcb9c40a59af31186dd57725d27e7393f97e7f630671885e858210,3.35,0,2017-07-07T00:30:00.000,2b04aa38e4d228ada9940bdf2d14385790d73f70,5.6,1140,2017-07-07T00:00:00.000,20.1,,,
20,,,41.90120699,"{'type': 'Point', 'coordinates': [-87.6763559892, 41.9012069941]}",-87.67635599,24,0,7.25,Credit Card,,41.89960211,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",-87.63330804,8,a6f3697d4aa419bfd2e5feb1e7c32da2de061d0a26c5e3d878e6610742421fddce52856d6a907d6c8f4e089ab4bde17f8db0b70c166961d87a7663a189f8591a,2,0,2017-07-07T00:00:00.000,36af183467dee31ae7bfe0034f35877377342c67,1.65,304,2017-07-07T00:00:00.000,9.75,,,
21,Northwest Management LLC,17031320100,41.88498719,"{'type': 'Point', 'coordinates': [-87.6209929134, 41.8849871918]}",-87.62099291,32,1,8.25,Credit Card,17031280100,41.88530002,"{'type': 'Point', 'coordinates': [-87.6428084655, 41.8853000224]}",-87.64280847,28,0ac82d8e603bbd49128d423aacb22570ca42274527d774d9d3f0c4f09734457ea55784b3cb0a5411aa310037de6da300661655c6deebedc6ea5820da0e26510d,1,0,2017-07-07T00:15:00.000,47de22edda1d6e7a3c86c7198f6dfe0c5e72d7b4,1.7,600,2017-07-07T00:00:00.000,10.25,,,
22,Taxi Affiliation Services,,41.90120699,"{'type': 'Point', 'coordinates': [-87.6763559892, 41.9012069941]}",-87.67635599,24,0,8.25,Cash,,41.89960211,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",-87.63330804,8,71148daeb06be005641aa43faa7184854e47c4b48592b8a4cf8f61274dcbdb3a8956588bdafdc75b362bb19eb508c7cfa0956d2d724b96c61aa24aa0bdf4c779,0,0,2017-07-07T00:00:00.000,4f461b5dd35a720df48fdb1690b598603120d6a5,1.9,540,2017-07-07T00:00:00.000,8.25,,,
23,,,41.92268628,"{'type': 'Point', 'coordinates': [-87.6494887289, 41.9226862843]}",-87.64948873,7,0,12.75,Cash,,41.87886558,"{'type': 'Point', 'coordinates': [-87.6251921424, 41.8788655841]}",-87.62519214,32,bc63ae0c7ee45051c7f3d02cdb650d855e0dd0f4a3ecbe30abfb4d193407118323b9265a861e6cd0304e6255e4b9fd32f8885a7b9d777eae5966b4c67dbb8d1c,0,0,2017-07-07T00:45:00.000,5167b54e32ba938c6294328ff0f42399297a7653,3.58,2974,2017-07-07T00:00:00.000,12.75,,,
24,,17031320100,41.88498719,"{'type': 'Point', 'coordinates': [-87.6209929134, 41.8849871918]}",-87.62099291,32,0,11.75,Credit Card,17031071500,41.91461629,"{'type': 'Point', 'coordinates': [-87.6317173661, 41.9146162864]}",-87.63171737,7,54bf72f7abe4f5017f0af19b6b486f26537ae6bd63337f816764033ab06d7b9d693bbab68c28f13057a908de345fd0386f43779107befd7fbe2847801d04ec0f,2,0,2017-07-07T00:15:00.000,55de0645bf1f77ffe39ab492129b8c09f20686b3,3.53,587,2017-07-07T00:00:00.000,14.25,,,
25,Taxi Affiliation Services,,41.87400538,"{'type': 'Point', 'coordinates': [-87.6635175498, 41.874005383]}",-87.66351755,28,1,9.25,Credit Card,,41.87886558,"{'type': 'Point', 'coordinates': [-87.6251921424, 41.8788655841]}",-87.62519214,32,7fd2bbba58b9c27f54afededbaa4f5fd4618e36e28feea2e4fb72356a9475148f400959423439a4fb39e5d6f51c989b3e62361f7049ed7b391f2a3a9d696120f,2.05,0,2017-07-07T00:15:00.000,563b16843cc276621fa3ff4777b12fb12de01cdf,2.2,540,2017-07-07T00:00:00.000,12.3,,,
26,Taxi Affiliation Services,17031281900,41.87925508,"{'type': 'Point', 'coordinates': [-87.642648998, 41.8792550844]}",-87.642649,28,1,9,Credit Card,17031330100,41.85934972,"{'type': 'Point', 'coordinates': [-87.6173580061, 41.859349715]}",-87.61735801,33,b39911a1ab050d3e87534f69187fca5a7559dc62d12298253d8dfd71daf5bc6573d23e2b6130b8ec002ad6fae8610bb830bf86dfff1d1accd261f68e0e38c8c4,2,0,2017-07-07T00:15:00.000,57218500478f2747c9340407175e41e3c7e14a93,1.9,660,2017-07-07T00:00:00.000,12,,,
27,Northwest Management LLC,17031063200,41.93839126,"{'type': 'Point', 'coordinates': [-87.6385749205, 41.9383912577]}",-87.63857492,6,0,16.25,Cash,17031320600,41.87060737,"{'type': 'Point', 'coordinates': [-87.6221729369, 41.8706073724]}",-87.62217294,32,161590e8d52e3d4158dac317ec1e185b7b4b4f4c821473e3beb35b5e2c451817d7a4eddb2c679b2d246a06df2fcc153cb55faa186158a8a452b9323c6caa3819,0,0,2017-07-07T00:15:00.000,5721f73e6cc7dae7797bc75a0e139548e1cde444,5.6,720,2017-07-07T00:00:00.000,16.25,,,
28,Northwest Management LLC,,41.85718386,"{'type': 'Point', 'coordinates': [-87.6203346241, 41.8571838585]}",-87.62033462,33,1,12.75,No Charge,,41.85718386,"{'type': 'Point', 'coordinates': [-87.6203346241, 41.8571838585]}",-87.62033462,33,e6f3cad6dc920f7782dccd76a1e0f147fc8361af905b4b9a27996f70490448291ce84d0d02b6406f2d3dfe7a0ef84bde8e323962be6b7c105ad4d65d4715ac3e,0,0,2017-07-07T00:15:00.000,5dd0e7ee61764e9c16457f5de46d553e1f7c1105,3.5,840,2017-07-07T00:00:00.000,13.75,,,
29,Taxi Affiliation Services,,41.9442266,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}",-87.65599818,6,1.5,20.75,Cash,,41.85718386,"{'type': 'Point', 'coordinates': [-87.6203346241, 41.8571838585]}",-87.62033462,33,9ff153898c75dbd960a207b660a71f92f79b666dcec98e18922f8f00bcabaa1138a0cbf70c2946647f65fedb7763759f4a6f6c71ebcf56d42002966d7c4df241,0,0,2017-07-07T00:15:00.000,5fe2c40b82cddb0c310e9070a7e1451670a4ec19,7.6,900,2017-07-07T00:00:00.000,22.25,,,
30,KOAM Taxi Association,17031081500,41.89250778,"{'type': 'Point', 'coordinates': [-87.6262149064, 41.8925077809]}",-87.62621491,8,1,7,Cash,17031320400,41.87740612,"{'type': 'Point', 'coordinates': [-87.6219716519, 41.8774061234]}",-87.62197165,32,e34b35da07b018b91f68a25f44455712c65b0795746dc903c7320ba218ccc8e27f0d41ae4003619567080799c98b43a5a4f2575a0baf1020b65b874b872e187d,0,0,2017-07-07T00:00:00.000,6050c7578ed97f7fb06a16905f131d4d728869e0,1.2,480,2017-07-07T00:00:00.000,8,,,
31,KOAM Taxi Association,,41.92268628,"{'type': 'Point', 'coordinates': [-87.6494887289, 41.9226862843]}",-87.64948873,7,0,14.5,Credit Card,,41.87886558,"{'type': 'Point', 'coordinates': [-87.6251921424, 41.8788655841]}",-87.62519214,32,88f8209072b1c11e826a6b860b5f6c8d202fa2c1e28101e842ce138452e4cddea6b92d810fa5b7263d8724b7353686aa0263a6eca709f0fef8fc7fa7caab138a,2.9,0,2017-07-07T00:15:00.000,66f31567de64ff9e43b3962a7a05bc8b07c89ece,4.6,780,2017-07-07T00:00:00.000,17.4,,,
32,KOAM Taxi Association,17031080100,41.90752008,"{'type': 'Point', 'coordinates': [-87.6266589003, 41.9075200747]}",-87.6266589,8,1,12,Cash,17031330100,41.85934972,"{'type': 'Point', 'coordinates': [-87.6173580061, 41.859349715]}",-87.61735801,33,71fc920551d68200d0ff75b7e53bf41ba482b1a6075b137c4001dd759c4784aef6b9cfe90017790e7fbaf5b31fb85208a22de2396fd72f40440ed9beedb56e5e,0,0,2017-07-07T00:15:00.000,6704d8e8525d53ac56c2f801bff706f3504b0283,3.3,720,2017-07-07T00:00:00.000,13,,,
33,,,41.9442266,"{'type': 'Point', 'coordinates': [-87.6559981815, 41.9442266014]}",-87.65599818,6,0,21.25,Credit Card,,41.87400538,"{'type': 'Point', 'coordinates': [-87.6635175498, 41.874005383]}",-87.66351755,28,9a03b73c5ab73cff888abb6ee2eb598352e4168671bd7c69bf5c5091bc7e9f1a89a5b405bbcc40f6933ba07a5f4d42c12121c679d8080df78b51448e69f08624,4.35,0,2017-07-07T00:15:00.000,6a2071046445d322d9b5654085c96f140cf10aa9,7.54,970,2017-07-07T00:00:00.000,26.1,,,
34,Chicago Medallion Leasing INC,17031320600,41.87060737,"{'type': 'Point', 'coordinates': [-87.6221729369, 41.8706073724]}",-87.62217294,32,0,8,Cash,17031081700,41.89204214,"{'type': 'Point', 'coordinates': [-87.6318639497, 41.8920421365]}",-87.63186395,8,14ba4e86beb4e185e52c5f3d95e680f46e5932a0c5553b5331a0424da2f93a3e596850eb9ca5f0c295df6e8c5c2be4972cea2a9089e599bbc3bee040f51c012e,0,0,2017-07-07T00:15:00.000,6fb8269efda311391524fdca8068ed00546579fa,1.6,540,2017-07-07T00:00:00.000,8,,,
35,Choice Taxi Association,,41.92268628,"{'type': 'Point', 'coordinates': [-87.6494887289, 41.9226862843]}",-87.64948873,7,1,11.5,Credit Card,,41.87400538,"{'type': 'Point', 'coordinates': [-87.6635175498, 41.874005383]}",-87.66351755,28,0a5dfb0d81ebf2fc3e48921ca874c63dd8b31d3728d09adba2c923ed8b14064d0f36c4e6a3ab8f3e8202249dfa0002715a139ea0a28b260fea40cd5817d4f369,2.5,0,2017-07-07T00:15:00.000,7259a12bdf243be03cf19492f0b0537d9dd26738,3.3,780,2017-07-07T00:00:00.000,15,,,
36,,17031833000,41.88528132,"{'type': 'Point', 'coordinates': [-87.6572331997, 41.8852813201]}",-87.6572332,28,1.5,8.25,Cash,17031839100,41.88099447,"{'type': 'Point', 'coordinates': [-87.6327464887, 41.8809944707]}",-87.63274649,32,025c4a64d4348a8184bbf4109fea03a717b87f48029d951bfb60d61d5ccb0266fbfd36e5eab6d226d993d1dd8a75ab3fbe2d161dba808d49c8b42e4ec4fc5d04,0,0,2017-07-07T00:15:00.000,757620494f13c28562e94287d984b1f41962fd34,1.79,534,2017-07-07T00:00:00.000,9.75,,,
37,,,41.84207612,"{'type': 'Point', 'coordinates': [-87.6339734222, 41.8420761168]}",-87.63397342,34,0,15,Cash,,41.90120699,"{'type': 'Point', 'coordinates': [-87.6763559892, 41.9012069941]}",-87.67635599,24,774404e103b0efff86c009f1f384bff4e09c0aba9d20f66723edb6b02bedd26de0e41c62bc9c42052c8349e2f393df719ab4e82ef46ad4c4cd80cfd64dadf456,0,0,2017-07-07T00:15:00.000,770c002689692bcc8aa519e20bee4bbbfe540af7,5.09,577,2017-07-07T00:00:00.000,15,,,
38,,,41.87886558,"{'type': 'Point', 'coordinates': [-87.6251921424, 41.8788655841]}",-87.62519214,32,0,15.75,Credit Card,,41.92268628,"{'type': 'Point', 'coordinates': [-87.6494887289, 41.9226862843]}",-87.64948873,7,4ea76937237d234148f31343797e28d4616f50891cb565129299236d6404d4427e7b23f376f58a84e51bf05a2755080f45c6b464037703e2efb17443357f732e,3.15,0,2017-07-07T00:15:00.000,7912fae3bfaaaca2319b180f8c89890447cfd25b,5,840,2017-07-07T00:00:00.000,19.4,,,
39,1085 - 72312 N and W Cab Co,17031842200,41.9049353,"{'type': 'Point', 'coordinates': [-87.6499072264, 41.9049353016]}",-87.64990723,8,0,8,Credit Card,17031081700,41.89204214,"{'type': 'Point', 'coordinates': [-87.6318639497, 41.8920421365]}",-87.63186395,8,e1a41c8d6d3b0e4aa884ccb8a99f70075f76d82a7f1f5fdb22458603b24e705b13a627fe195e64b0999352c57dd2d374816b9bf3af8af4449ca6642d5b10827b,1,0,2017-07-07T00:00:00.000,7b6292ee4d596edd5665f4f967f89d905f082092,1.8,420,2017-07-07T00:00:00.000,9,,,
40,Dispatch Taxi Affiliation,,41.92268628,"{'type': 'Point', 'coordinates': [-87.6494887289, 41.9226862843]}",-87.64948873,7,1,10.75,Cash,,41.89960211,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",-87.63330804,8,a6c3cb7ab4c037a7db9e2fd3513f28e0ff17c8547a70bd37d6a45d5df4c2c78f5518cf6c3c1e9e8f8b8d21ac4a9732546cf302c79b0542487899fb025192b8d2,0,0,2017-07-07T00:15:00.000,7b83e9f05318ce1379d873fdc4220418ed642a40,2.7,780,2017-07-07T00:00:00.000,11.75,,,
41,Dispatch Taxi Affiliation,17031842200,41.9049353,"{'type': 'Point', 'coordinates': [-87.6499072264, 41.9049353016]}",-87.64990723,8,0,8.25,Cash,17031081700,41.89204214,"{'type': 'Point', 'coordinates': [-87.6318639497, 41.8920421365]}",-87.63186395,8,12892fdf027712c46f330164331346d04cd435d0ff7020acf340c5ce0114e4182932a281a3b4b50409c6b70374d81052ab53fe891fcc8e85d78feb5163ed4d22,0,0,2017-07-07T00:00:00.000,7bf92a0f78fb7e7f98dcd7e3badfca712529914e,1.8,540,2017-07-07T00:00:00.000,8.25,,,
42,,17031081800,41.89321636,"{'type': 'Point', 'coordinates': [-87.6378442095, 41.8932163595]}",-87.63784421,8,1,6.25,Credit Card,17031833000,41.88528132,"{'type': 'Point', 'coordinates': [-87.6572331997, 41.8852813201]}",-87.6572332,28,f6db72e04ae8ef4d6fd82c21bacd9599a3487e7ba5b829bda6ea839de54142e2ec85d280a49af6305aa413dce1e87b5cc097acf6650b85f16efee35a7b054a7d,2,0,2017-07-07T00:15:00.000,7cf23e675563fbd1d0d2981e969d07b9d99adffc,1.27,314,2017-07-07T00:00:00.000,9.75,,,
43,Choice Taxi Association,,41.90120699,"{'type': 'Point', 'coordinates': [-87.6763559892, 41.9012069941]}",-87.67635599,24,0,9.75,Credit Card,,41.92276062,"{'type': 'Point', 'coordinates': [-87.6991553432, 41.9227606205]}",-87.69915534,22,d670c3ef208ea463741708bc0ba858b96c2d2c3389fe60db1e4b7af022e55304330a9f5e6a37e1b693fa103b7457ba4bdd5b15eb69d5c0e1d4a58b1cc54d0375,2,0,2017-07-07T00:00:00.000,7d7c58c8f490814a3e5611cd8c8f930fd3a9baea,2.5,720,2017-07-07T00:00:00.000,11.75,,,
44,Northwest Management LLC,17031081403,41.89092203,"{'type': 'Point', 'coordinates': [-87.6188683546, 41.8909220259]}",-87.61886836,8,1,8.25,No Charge,17031833000,41.88528132,"{'type': 'Point', 'coordinates': [-87.6572331997, 41.8852813201]}",-87.6572332,28,7acb859e80eca61f0be95a49dd9a912f580266ccc8476b601e216889f252daa3cb6c116961675d9e6008230a31582a238bc56eecbc27d78d620d3b32a8bf5cfd,0,0,2017-07-07T00:00:00.000,7fd49a04b36bccc83f1a27e4ce5e952f59f31266,1.8,600,2017-07-07T00:00:00.000,9.25,,,
45,Dispatch Taxi Affiliation,,41.95358213,"{'type': 'Point', 'coordinates': [-87.7234523905, 41.9535821253]}",-87.72345239,16,0,20.25,Credit Card,,41.89960211,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",-87.63330804,8,c296acfd2dae24a13a2f75387b647f2b3047b09ecb9cda02018eb160e778977046f3367d90ab483067ef00caf4831b74a22fe0ddda515a2e82dae18170bb902b,5.05,0,2017-07-07T00:00:00.000,80989c5c5bd4c66c8ebb39477976f1791470d68e,7.2,780,2017-07-07T00:00:00.000,25.3,,,
46,Northwest Management LLC,,41.89960211,"{'type': 'Point', 'coordinates': [-87.6333080367, 41.899602111]}",-87.63330804,8,1,10.5,Cash,,41.87400538,"{'type': 'Point', 'coordinates': [-87.6635175498, 41.874005383]}",-87.66351755,28,1ba56b296b0d930b10a926807d5c67ff0f2ff5005dfb0323a9e601ab36e969e1aa641cd601b39b0eba1568d2a3ae8555029c8444f78f710be46b66a5bb2cf690,0,0,2017-07-07T00:30:00.000,8372769a3faa9cb4f1b9c062f596c213db96e82d,1.1,1080,2017-07-07T00:00:00.000,11.5,,,
